1008, 1470, 1313, 1560, 1840, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, 1313, 1560, -1, 
-1, -1, 1330, 1726, -1, 
-1, -1, -1, 1694, -1, 
-1, -1, -1, 1687, -1, 
-1, -1, -1, 1680, -1, 
-1, -1, -1, 1674, -1, 
-1, -1, -1, 1667, -1, 
-1, -1, 1330, -1, -1, 
-1, -1, 1338, -1, -1, 
-1, -1, 1347, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, 1347, -1, -1, 
-1, -1, 1351, -1, -1, 
-1, -1, 1355, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, 1355, -1, -1, 
-1, -1, 1359, -1, -1, 
-1, -1, 1364, -1, -1, 
-1, -1, 1368, -1, -1, 
-1, -1, 1373, 1667, -1, 
-1, -1, 1377, 1685, -1, 
-1, -1, 1382, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, 1382, -1, -1, 
-1, -1, 1384, 1685, -1, 
-1, -1, 1387, 1689, -1, 
-1, -1, 1389, 1694, -1, 
-1, -1, 1391, -1, -1, 
-1, -1, 1394, -1, -1, 
-1, -1, 1396, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, 1396, -1, -1, 
-1, -1, 1402, -1, -1, 
-1, -1, 1408, -1, -1, 
-1, -1, -1, -1, -1, 
-1, -1, -1, 1694, -1, 
-1, -1, -1, 1698, -1, 
